name,code,parent_id,id,created_at,updated_at,is_deleted
指挥部,的是,,1,2025-11-25 20:22:56.950358,2025-11-25 20:22:56.950362,0
研发部,或者,,2,2025-11-25 20:22:56.950363,2025-11-25 20:22:56.950364,0
市场部,电话,,3,2025-11-25 20:22:56.950366,2025-11-25 20:22:56.950367,0
后勤部,留言,,4,2025-11-25 20:22:56.950368,2025-11-25 20:22:56.950369,0
深空探索部,不会,,5,2025-11-25 20:22:56.950370,2025-11-25 20:22:56.950371,0
量子计算中心,一切,,6,2025-11-25 20:22:56.950372,2025-11-25 20:22:56.950373,0
生物工程实验室,报告,,7,2025-11-25 20:22:56.950374,2025-11-25 20:22:56.950375,0
防御系统部,我的,,8,2025-11-25 20:22:56.950376,2025-11-25 20:22:56.950377,0
能源管理部,单位,,9,2025-11-25 20:22:56.950378,2025-11-25 20:22:56.950379,0
星际贸易部,现在,,10,2025-11-25 20:22:56.950380,2025-11-25 20:22:56.950381,0
